time,#login,#logout
1/1/2017 12:50,1,0
1/1/2017 13:00,1,0
1/1/2017 14:10,2,0
1/1/2017 15:40,1,0
1/1/2017 16:20,1,0
1/1/2017 16:30,2,0
1/1/2017 20:00,1,0
1/1/2017 20:40,2,0
1/1/2017 21:40,1,0
1/1/2017 22:10,1,0
1/1/2017 22:20,1,0
1/1/2017 22:30,1,0
1/1/2017 22:40,1,0
1/1/2017 22:50,2,0
1/1/2017 23:10,1,0
1/1/2017 23:20,1,0
1/1/2017 23:30,16,0
1/1/2017 23:40,12,0
1/1/2017 23:50,14,0
1/2/2017 0:00,24,15
1/2/2017 0:10,30,14
1/2/2017 0:20,16,16
1/2/2017 0:30,8,12
1/2/2017 0:40,40,19
1/2/2017 0:50,26,10
1/2/2017 1:00,8,4
1/2/2017 1:10,20,18
1/2/2017 1:20,20,12
1/2/2017 1:30,10,7
1/2/2017 1:40,6,9
1/2/2017 1:50,10,11
1/2/2017 2:00,14,5
1/2/2017 2:10,4,2
1/2/2017 2:20,14,9
1/2/2017 2:30,4,7
1/2/2017 2:50,2,2
1/2/2017 3:00,10,6
1/2/2017 3:10,6,3
1/2/2017 3:20,4,1
1/2/2017 3:30,2,7
1/2/2017 3:40,8,3
1/2/2017 3:50,10,2
1/2/2017 4:00,2,1
1/2/2017 4:10,2,5
1/2/2017 4:20,4,5
1/2/2017 4:30,6,1
1/2/2017 4:40,6,3
1/2/2017 4:50,6,2
1/2/2017 5:00,12,4
1/2/2017 5:10,2,4
1/2/2017 5:20,2,3
1/2/2017 5:30,6,4
1/2/2017 5:40,14,1
1/2/2017 5:50,12,1
1/2/2017 6:00,17,4
1/2/2017 6:10,12,6
1/2/2017 6:20,20,8
1/2/2017 6:30,24,9
1/2/2017 6:40,20,5
1/2/2017 6:50,22,10
1/2/2017 7:00,44,11
1/2/2017 7:10,20,9
1/2/2017 7:20,18,10
1/2/2017 7:30,24,21
1/2/2017 7:40,30,11
1/2/2017 7:50,42,11
1/2/2017 8:00,58,13
1/2/2017 8:10,42,13
1/2/2017 8:20,56,20
1/2/2017 8:30,62,30
1/2/2017 8:40,60,20
1/2/2017 8:50,90,29
1/2/2017 9:00,70,27
1/2/2017 9:10,56,29
1/2/2017 9:20,82,42
1/2/2017 9:30,72,38
1/2/2017 9:40,88,27
1/2/2017 9:50,64,38
1/2/2017 10:00,70,33
1/2/2017 10:10,56,47
1/2/2017 10:20,94,33
1/2/2017 10:30,56,36
1/2/2017 10:40,74,28
1/2/2017 10:50,76,48
1/2/2017 11:00,64,29
1/2/2017 11:10,78,34
1/2/2017 11:20,66,39
1/2/2017 11:30,91,32
1/2/2017 11:40,78,37
1/2/2017 11:50,85,27
1/2/2017 12:00,96,48
1/2/2017 12:10,102,37
1/2/2017 12:20,109,43
1/2/2017 12:30,64,42
1/2/2017 12:40,86,50
1/2/2017 12:50,82,53
1/2/2017 13:00,88,36
1/2/2017 13:10,62,42
1/2/2017 13:20,64,41
1/2/2017 13:30,88,45
1/2/2017 13:40,54,31
1/2/2017 13:50,60,30
1/2/2017 14:00,92,46
1/2/2017 14:10,88,30
1/2/2017 14:20,70,36
1/2/2017 14:30,80,46
1/2/2017 14:40,106,41
1/2/2017 14:50,88,35
1/2/2017 15:00,56,38
1/2/2017 15:10,68,50
1/2/2017 15:20,82,39
1/2/2017 15:30,84,35
1/2/2017 15:40,70,35
1/2/2017 15:50,50,37
1/2/2017 16:00,59,40
1/2/2017 16:10,69,36
1/2/2017 16:20,72,28
1/2/2017 16:30,68,29
1/2/2017 16:40,44,40
1/2/2017 16:50,76,34
1/2/2017 17:00,58,34
1/2/2017 17:10,28,19
1/2/2017 17:20,60,41
1/2/2017 17:30,52,30
1/2/2017 17:40,76,17
1/2/2017 17:50,51,27
1/2/2017 18:00,89,34
1/2/2017 18:10,60,37
1/2/2017 18:20,60,24
1/2/2017 18:30,64,40
1/2/2017 18:40,78,35
1/2/2017 18:50,66,30
1/2/2017 19:00,66,29
1/2/2017 19:10,94,45
1/2/2017 19:20,62,31
1/2/2017 19:30,77,34
1/2/2017 19:40,81,45
1/2/2017 19:50,96,32
1/2/2017 20:00,58,40
1/2/2017 20:10,77,37
1/2/2017 20:20,59,48
1/2/2017 20:30,65,28
1/2/2017 20:40,72,40
1/2/2017 20:50,68,29
1/2/2017 21:00,76,33
1/2/2017 21:10,58,37
1/2/2017 21:20,60,30
1/2/2017 21:30,82,36
1/2/2017 21:40,57,31
1/2/2017 21:50,61,37
1/2/2017 22:00,52,42
1/2/2017 22:10,61,25
1/2/2017 22:20,38,27
1/2/2017 22:30,44,26
1/2/2017 22:40,46,28
1/2/2017 22:50,31,24
1/2/2017 23:00,42,25
1/2/2017 23:10,39,25
1/2/2017 23:20,29,13
1/2/2017 23:30,21,20
1/2/2017 23:40,16,18
1/2/2017 23:50,15,15